Linear_Residue2 Episode 380, Reward: -212.59109167463953, Steps: 612
Linear_Residue2 Episode 381, Reward: -98.3332427315362, Steps: 86
Linear_Residue2 Episode 382, Reward: -229.99206294089544, Steps: 476
Linear_Residue2 Episode 383, Reward: -119.82114517984571, Steps: 77
Linear_Residue2 Episode 384, Reward: -87.9598967612247, Steps: 88
Linear_Residue2 Episode 385, Reward: -117.20696048687213, Steps: 361
Linear_Residue2 Episode 386, Reward: -121.45556696439013, Steps: 62
Linear_Residue2 Episode 387, Reward: -74.94692937315995, Steps: 62
Linear_Residue2 Episode 388, Reward: -94.777584453477, Steps: 54
Linear_Residue2 Episode 389, Reward: -91.86893899770625, Steps: 60
Linear_Residue2 Episode 390, Reward: -130.99639928641045, Steps: 77
Linear_Residue2 Episode 391, Reward: -105.63124473792269, Steps: 59
Linear_Residue2 Episode 392, Reward: -88.02754205309799, Steps: 119
Linear_Residue2 Episode 393, Reward: -61.935922449647656, Steps: 69
Linear_Residue2 Episode 394, Reward: -129.80442145656195, Steps: 262
Linear_Residue2 Episode 395, Reward: -64.33005491204835, Steps: 147
Linear_Residue2 Episode 396, Reward: -38.41077537975727, Steps: 137
Linear_Residue2 Episode 397, Reward: 2.7070968127007546, Steps: 75
