Residue_Linear1 Episode 260, Reward: -242.09465069550845, Steps: 199
Residue_Linear1 Episode 261, Reward: -221.8534447311497, Steps: 132
Residue_Linear1 Episode 262, Reward: -311.17930712993774, Steps: 113
Residue_Linear1 Episode 263, Reward: -355.8738824240934, Steps: 234
Residue_Linear1 Episode 264, Reward: -318.88205807728804, Steps: 148
Residue_Linear1 Episode 265, Reward: -237.0788359518708, Steps: 125
Residue_Linear1 Episode 266, Reward: -253.92243058024943, Steps: 128
Residue_Linear1 Episode 267, Reward: -258.00045872836574, Steps: 104
Residue_Linear1 Episode 268, Reward: -270.33463759082395, Steps: 154
Residue_Linear1 Episode 269, Reward: -288.02192509363033, Steps: 116
Residue_Linear1 Episode 270, Reward: -312.72367177354715, Steps: 154
Residue_Linear1 Episode 271, Reward: -289.357259733983, Steps: 286
Residue_Linear1 Episode 272, Reward: -273.8268303018882, Steps: 110
Residue_Linear1 Episode 273, Reward: -326.2219818093552, Steps: 150
Residue_Linear1 Episode 274, Reward: -273.95491932491933, Steps: 102
Residue_Linear1 Episode 275, Reward: -294.5617609840158, Steps: 150
Residue_Linear1 Episode 276, Reward: -297.3913815092463, Steps: 124
Residue_Linear1 Episode 277, Reward: -230.92019554327206, Steps: 112
Residue_Linear1 Episode 278, Reward: -370.23795019213344, Steps: 124
Residue_Linear1 Episode 279, Reward: -229.06235872003097, Steps: 113
Residue_Linear1 Episode 280, Reward: -228.82122796335122, Steps: 172
Residue_Linear1 Episode 281, Reward: -200.44524219069893, Steps: 101
Residue_Linear1 Episode 282, Reward: -269.8754560826429, Steps: 338
Residue_Linear1 Episode 283, Reward: -305.6399260505701, Steps: 176
Residue_Linear1 Episode 284, Reward: -274.11031475950676, Steps: 137
Residue_Linear1 Episode 285, Reward: -277.4842954145065, Steps: 121
Residue_Linear1 Episode 286, Reward: -234.0700653704691, Steps: 107
Residue_Linear1 Episode 287, Reward: -210.0708832650448, Steps: 188
Residue_Linear1 Episode 288, Reward: -179.17065509062311, Steps: 133
Residue_Linear1 Episode 289, Reward: -225.67666472915465, Steps: 101
Residue_Linear1 Episode 290, Reward: -109.45117917166812, Steps: 157
Residue_Linear1 Episode 291, Reward: -300.1479188445129, Steps: 117
Residue_Linear1 Episode 292, Reward: -258.13158531124776, Steps: 125
Residue_Linear1 Episode 293, Reward: -202.08464054298094, Steps: 220
Residue_Linear1 Episode 294, Reward: -299.8017886268933, Steps: 187
Residue_Linear1 Episode 295, Reward: -227.2387933226566, Steps: 210
Residue_Linear1 Episode 296, Reward: -260.29323390999724, Steps: 113
Residue_Linear1 Episode 297, Reward: -288.0822262474791, Steps: 197
